segment_id,is_human,time_to_first_action,inter_event_std,path_efficiency,velocity_variance,hover_time_before_click,scroll_variance,error_behavior
human_20260404_142706_yfp6ku,1,0.0,180.60419481613707,1.0,10.061009027703728,0.0,143.80555555555554,0.0
human_20260404_145116_fsqk18,1,0.0,4368.619377919734,1.0,1.8604162759889242,0.0,213.17202268431004,0.0
human_20260404_145116_fsqk18,1,1037.0,103.38767481259556,1.0,4.663091954122995,0.0,11.25,0.0
human_20260404_145116_fsqk18,1,1403.0,144.6500165362957,1.0,3.730357656560511,0.0,127.56004756242571,0.0
human_20260404_145116_fsqk18,1,0.0,7855.20835744247,1.0,3.9250469935234165,0.0,137.96731799246183,0.0
human_20260404_145116_fsqk18,1,0.0,818.0492160897962,1.0,2.509387268246002,0.0,184.81534546140077,0.0
human_20260404_145116_fsqk18,1,40.0,2070.298946810155,1.0,3.217800405949853,0.0,222.23367283950614,0.0
human_20260404_145116_fsqk18,1,374.0,25480.89647402432,1.0,2.069516656353098,0.0,56.2412109375,0.0
human_20260404_145116_fsqk18,1,0.0,7792.76609696736,1.0,2.5660329170422695,0.0,162.14862222222217,0.0
human_20260404_145116_fsqk18,1,484663.0,19836.283904485965,1.0,2.1884720537629248,0.0,213.11087074094107,0.0
human_20260404_145116_fsqk18,1,0.0,2207.9707504157204,1.0,1.6270220253727448,0.0,126.28472222222221,0.0
human_20260404_142706_yfp6ku,1,1028.0,84.1099588126624,1.0,3.532633577045294,0.0,260.4471879286694,0.0
human_20260404_145116_fsqk18,1,1938.0,3415.3318438427805,1.0,2.0359552550733113,0.0,96.0270061728395,0.2
human_20260404_145116_fsqk18,1,0.0,181033.1661328627,1.0,4.723619069383907,0.0,122.90104166666667,0.0
human_20260404_145116_fsqk18,1,874.0,2180.0252233473648,1.0,2.7829541324272866,0.0,200.0,0.0
human_20260404_145116_fsqk18,1,488.0,1383.4375498449458,1.0,1.463665990174619,0.0,251.58222222222219,0.0
human_20260404_145116_fsqk18,1,0.0,510.4786250830358,1.0,2.269806215532027,0.0,150.37639053254438,0.0
human_20260404_145116_fsqk18,1,61.0,24462.80206757754,1.0,3.629264946802108,0.0,217.58187116374236,0.0
human_20260404_145116_fsqk18,1,1027.0,1653.5788205552078,1.0,1.5703165225221223,0.0,214.31862945049824,0.0
human_20260404_145116_fsqk18,1,11638.0,659.7760152103997,1.0,1.2866307760235505,0.0,437.08284023668637,0.0
human_20260404_145116_fsqk18,1,1172.0,278.5485331788283,1.0,1.3454232478487087,0.0,22.26446280991735,0.25
human_20260404_145116_fsqk18,1,610.0,5533.713087703709,1.0,0.6201483336448671,0.0,824.1435669904139,0.0
human_20260404_142706_yfp6ku,1,170.0,89.71067112128607,1.0,2.5549452274029756,0.0,140.57142857142858,0.0
human_20260404_145116_fsqk18,1,997.0,1016.835280121546,1.0,0.8273205296086378,0.0,188.74305555555554,0.0
human_20260404_145116_fsqk18,1,470.0,673.0819096250261,1.0,0.7343916135105604,0.0,379.26703453406907,0.0
human_20260404_145116_fsqk18,1,1504.0,10556.557274390472,1.0,1.4906432040879936,0.0,143.52388869871385,0.0
human_20260404_145116_fsqk18,1,515.0,841.6061243937528,1.0,1.1628109604438144,0.0,206.50594530321047,0.0
human_20260404_145116_fsqk18,1,868.0,2059.227666786007,1.0,1.530996674968952,0.0,287.76672181737064,0.0
human_20260404_145116_fsqk18,1,0.0,1670.5699330685877,1.0,1.274452788916858,0.0,525.5691425120773,0.0
human_20260404_145116_fsqk18,1,946.0,873.3382805950891,1.0,1.0243003827348445,0.0,200.6304,0.0
human_20260404_145116_fsqk18,1,0.0,1241.237821714067,1.0,1.3187939192871536,0.0,189.3408438728877,0.0
human_20260404_145116_fsqk18,1,0.0,910.2603386139401,1.0,1.3804900422951623,0.0,452.3345723330883,0.0
human_20260404_145116_fsqk18,1,319.0,737.7248342678181,1.0,0.9297746524103564,0.0,165.26657596371882,0.0
human_20260404_143207_fu2cgs,1,0.0,217.09067372248848,1.0,5.137558875803496,0.0,0.0,0.03125
human_20260404_145116_fsqk18,1,264.0,5979.017527750263,1.0,1.5061044539488837,0.0,247.6876095891372,0.0
human_20260404_145116_fsqk18,1,505.0,389227.40570760623,1.0,1.0675967989274178,0.0,216.40032958984375,0.0
human_20260404_145116_fsqk18,1,1732.0,328.5318058711218,1.0,0.7377285644309852,0.0,113.00617283950616,0.0
human_20260404_145116_fsqk18,1,229.0,262.7266806848141,1.0,0.8890274381332298,0.0,256.19146722164413,0.0
human_20260404_145116_fsqk18,1,1231.0,1068.465364223957,1.0,0.7814011950441017,0.0,134.5619834710744,0.2
human_20260404_145116_fsqk18,1,0.0,3921.7560310322706,1.0,0.7920066554670012,0.0,190.06802721088437,0.0
human_20260404_145116_fsqk18,1,0.0,2593.259020439926,1.0,1.0114632122310812,0.0,406.905515765569,0.0
human_20260404_143207_fu2cgs,1,297.0,215.16620522530073,1.0,4.518823594003582,0.0,13.2,0.0
human_20260404_142239_uqhcv2,1,45574.0,3078.7694653093567,1.0,4.966182145408775,0.0,700.7499142661181,0.0
human_20260404_143207_fu2cgs,1,661.0,1474.110874266122,1.0,3.305774399222763,0.0,224.509521484375,0.0
human_20260404_143207_fu2cgs,1,915.0,121.14154538887306,1.0,4.0393579380512366,0.0,597.2818073721759,0.0
human_20260404_145116_fsqk18,1,0.0,820.1167608078894,1.0,4.167421853878027,0.0,64.51555555555557,0.0
agent_20260404_125155_l5mlkp_iter1,0,0.0,249.2807523243641,0.9985568271428309,0.11831616620521893,0.0,3302.6666666666665,0.031914893617021274
agent_20260404_132541_fgoc0f_iter10,0,0.0,259.5741753250113,0.999044729014613,0.22763061904337487,0.0,6385.7430555555575,0.020202020202020204
agent_20260404_132637_jt2d3a_iter11,0,0.0,610.3411767534748,0.9990349042564268,2.7150690139885922,0.0,4799.918367346939,0.0
agent_20260404_132650_sjby5c_iter12,0,0.0,279.6383729010835,0.998423984638192,0.15965636784319787,0.0,10335.359999999999,0.05309734513274336
agent_20260404_132753_vf1hmq_iter13,0,0.0,244.2563897977391,0.9988199128919331,0.26869476038208534,0.0,5539.360000000001,0.045454545454545456
agent_20260404_132849_lrztpq_iter14,0,0.0,459.6420835721509,0.9990062279398586,0.24825192822537076,0.0,8427.810000000001,0.0
agent_20260404_132911_1nnpo5_iter15,0,0.0,268.68145624738696,0.998914824497396,0.21886815922795208,0.0,3633.603305785124,0.06837606837606838
agent_20260404_133014_edz1lf_iter16,0,0.0,454.4129033540904,0.998703178265949,0.8047738923320564,0.0,4991.555555555556,0.0
agent_20260404_133027_qgbsq7_iter17,0,0.0,246.4574028211071,0.9988783781458963,0.19648220021844096,0.0,11808.555555555557,0.0
agent_20260404_133115_b3azb9_iter18,0,0.0,576.0436733525223,0.9989897722649497,0.16514069718642174,0.0,6998.693333333334,0.0
agent_20260404_133133_xxtmai_iter19,0,0.0,486.72251816469446,0.970659241442671,0.15573928784099586,0.0,2480.1728395061727,0.0
agent_20260404_125244_r6pcid_iter2,0,0.0,653.2051745049177,0.9993913275199608,0.7893960444146674,0.0,9260.4375,0.0
agent_20260404_133152_mg9f6h_iter20,0,0.0,627.0550052362526,0.9989059912271983,0.11090622163802102,0.0,7715.061224489796,0.0
agent_20260404_133205_19hrxi_iter21,0,0.0,427.1300415564328,0.9991223133728503,0.13889347619782239,0.0,8867.16955017301,0.125
agent_20260404_133227_hqy5xx_iter22,0,0.0,288.2848003881208,0.9812510889825777,0.23771411031494186,0.0,6773.940828402367,0.0392156862745098
agent_20260404_133329_xhq9pu_iter23,0,0.0,488.1074008608008,0.998395530571726,0.1715796323816067,0.0,2773.1388888888887,0.0
agent_20260404_133346_u9hr7z_iter24,0,0.0,460.0180539688896,0.998970318041579,0.1289492753322828,0.0,4462.92561983471,0.0
agent_20260404_133406_voiya3_iter25,0,0.0,246.85051896023532,0.9986473777699791,0.13021829980320446,0.0,6189.836734693878,0.08547008547008547
agent_20260404_133505_9be8r9_iter26,0,0.0,257.7476310557477,0.9990447486174601,0.08011821226138859,0.0,9483.76,0.0594059405940594
agent_20260404_133557_3u86nd_iter27,0,0.0,281.2979999977932,0.9986070553919644,0.1608114117546735,0.0,2290.7599999999998,0.0297029702970297
agent_20260404_171712_2nsmcs_iter28,0,0.0,291.48578821828823,0.9989725319099821,0.06698367842310597,0.0,6362.0,0.041237113402061855
agent_20260404_171806_wzb3t7_iter29,0,0.0,610.2691276504697,0.9984862155846665,0.06102023924680369,0.0,3070.6666666666665,0.0
agent_20260404_132129_lzd1tn_iter3,0,0.0,287.5629414732604,0.998558019707067,0.10615743285851496,0.0,7313.0177514792895,0.0425531914893617
agent_20260404_171820_babnce_iter30,0,0.0,286.3703707339681,0.9990392882617923,0.06247633056429104,0.0,9847.91836734694,0.031914893617021274
agent_20260404_171913_hwov14_iter31,0,0.0,310.31913855658564,0.9984517791523848,0.07037432308861488,0.0,4204.469135802468,0.05714285714285714
agent_20260404_172017_ruwiiw_iter32,0,0.0,526.5678219161371,0.9990734704754552,0.0772966771419228,0.0,7874.859375,0.0
agent_20260404_172041_n42th5_iter33,0,0.0,325.78076458864746,0.998327249789887,0.06201929575918378,0.0,7495.626666666665,0.02040816326530612
agent_20260404_172146_yupnl6_iter34,0,0.0,341.8754961081089,0.9989335978738926,0.0888763912990434,0.0,7755.140495867769,0.021739130434782608
agent_20260404_172246_fu1ra2_iter35,0,0.0,453.2887522392039,0.9957612337877096,0.4638741517340043,0.0,4553.802469135802,0.0
agent_20260404_172303_kyh9el_iter36,0,0.0,259.49116983041785,0.9488311899156459,0.15257976967137338,0.0,8900.039999999999,0.02040816326530612
agent_20260404_172357_6vd0ww_iter37,0,0.0,280.5478313866962,0.9921455558125277,0.27085758009795347,0.0,10322.29,0.03669724770642202
agent_20260404_172500_yp9xrv_iter38,0,0.0,840.2860283662079,0.998945501265899,0.08492744916986643,0.0,8311.884297520663,0.0
agent_20260404_172522_q44vuw_iter39,0,0.0,341.1386100908076,0.9862006305384099,0.12813516977648542,0.0,3970.024691358025,0.021739130434782608
agent_20260404_132224_czysqo_iter4,0,0.0,658.4798704561274,0.9988946208972012,0.9450868133213008,0.0,8949.555555555555,0.0
agent_20260404_172621_73nwz8_iter40,0,0.0,247.16989771271724,0.9990399707800658,0.11313925236071101,0.0,5140.13888888889,0.04807692307692308
agent_20260404_172715_dgqp4b_iter41,0,0.0,279.56435799274954,0.9981215550704128,0.19173992789369143,0.0,10071.333333333334,0.029411764705882353
agent_20260404_172815_dk5jdb_iter42,0,0.0,261.7622759738141,0.998888148292686,0.09920225912221804,0.0,5350.960000000001,0.01904761904761905
agent_20260404_172913_r3zc50_iter43,0,0.0,294.8908652303798,0.9768957831599521,0.16598123864673398,0.0,7245.916666666667,0.04040404040404041
agent_20260404_132238_tdr8do_iter5,0,0.0,230.61300974167852,0.9915671397991177,0.15759521728914647,0.0,11927.673469387755,0.02040816326530612
agent_20260404_132329_xp4c3x_iter6,0,0.0,274.91211468200225,0.9988841340326042,0.8089475157289161,0.0,3578.373333333334,0.0297029702970297
agent_20260404_132425_qov2un_iter7,0,0.0,543.7941724961902,0.9992293350339327,0.60408636516941,0.0,9076.359375,0.0
agent_20260404_132437_m40ih8_iter8,0,0.0,273.9484154994945,0.9990165335457802,0.5537799743195311,0.0,8034.402366863905,0.021739130434782608
agent_20260404_132529_9ndkhp_iter9,0,0.0,586.9109422064244,0.9991214287338029,0.15042172727146252,0.0,7375.950617283951,0.0
